"","inst","volume","ram_length","ram_thickness","ram_extent","sigma","eid","calve","ram_vol","ram_percent","short_extent","ice_thickness"
"140","LWI",12165.5250605964,40,70,6.17378610390194,13.0128564996781,7601,TRUE,14.1111608000652,-0.105360515657826,"yes",70
"141","LWI",12206.5556157337,60,70,6.31535800152233,13.5980644950941,10553,TRUE,14.6581978057938,0.470003629245736,"yes",70
"142","WCZ",28982.7534923789,20,70,7.33693691370762,13.3111705238872,12249,TRUE,14.581164429311,-1.20397280432594,"yes",70
"143","WCZ",29051.6780926679,40,70,7.3304052118444,13.6033601104582,16217,TRUE,15.2677799080077,-0.693147180559945,"yes",70
"144","WCZ",29120.4395571221,60,70,7.50273821075485,14.0466222789277,29097,TRUE,15.8455780150263,-0.105360515657826,"yes",70
"145","ZVB",28160.2556806574,20,70,6.2709884318583,12.4373867269697,81889,FALSE,13.5152159474617,-2.30258509299405,"yes",70
"146","ZVB",28195.7443597434,40,70,6.39526159811545,12.9844544171968,56105,TRUE,14.3326362942787,-1.6094379124341,"yes",70
"147","ZVB",28231.1884269862,60,70,6.67708346124714,13.3377650374665,27593,TRUE,15.0199232655186,-0.916290731874155,"yes",70
"148","PJJ",9757.04873412038,20,70,5.79909265446053,12.9356216661049,4791,TRUE,13.0433201700639,-0.693147180559945,"yes",70
"149","PJJ",3098.38667696593,40,70,5.95324333428778,13.6081788381662,5329,TRUE,13.8906180304511,2.41591377830105,"yes",70
"150","PJJ",9853.93322486001,60,70,6.06378520868761,14.0778748224318,8113,TRUE,14.4066250129591,0.641853886172395,"yes",70
"151","QWZ",13638.1816969859,20,70,6.20657592672493,12.8739148385365,26801,FALSE,13.4508034423283,-0.916290731874155,"yes",70
"152","QWZ",15329.7097167559,40,70,6.31896811374643,13.5915016323217,9337,TRUE,14.2563428099097,-0.356674943938732,"yes",70
"153","QWZ",13711.3092008021,60,70,6.42324696353352,14.0143614167094,11929,TRUE,14.766086767805,0.336472236621213,"yes",70
"154","HFL",17860.5710994917,20,70,7.434847875212,13.9725143067739,9833,TRUE,14.6790753908153,-0.356674943938732,"yes",70
"155","BSS",10535.6537528527,20,70,6.46925031679577,12.6130732408409,4393,FALSE,13.7134778323991,-0.22314355131421,"yes",70
"156","BSS",10583.0052442584,40,70,6.65929391968364,13.2410047112841,6129,TRUE,14.5966686158469,0.693147180559945,"yes",70
"157","BSS",10677.0782520313,60,70,6.76272950693188,13.7066628580297,8305,TRUE,15.1055693112033,1.16315080980568,"yes",70
"158","BCS",11958.2607431014,20,70,5.61312810638807,12.7419898266877,4873,FALSE,12.8573556219914,-1.20397280432594,"yes",70
"159","BCS",12000,40,70,5.75574221358691,13.4863840751094,2489,TRUE,13.6931169097502,-0.510825623765991,"yes",70
"160","BCS",12083.0459735946,60,70,6.03548143252476,13.4769547522197,9217,TRUE,14.3783212367962,0.182321556793955,"yes",70
"161","RGN",32249.0309931942,40,70,7.74370325817375,13.8924715991004,23097,TRUE,15.681077954337,-0.510825623765991,"yes",70
"162","RGN",32403.7034920393,60,70,7.76429600645052,14.1375940571334,25385,TRUE,16.107135810722,-0.105360515657826,"yes",70
"163","FPS",34351.1280746353,20,70,7.97625194374562,13.0465767663551,16217,FALSE,15.220479459349,-1.20397280432594,"yes",70
"164","FPS",34496.3766213207,40,70,7.98480338973441,13.8450693602058,22481,TRUE,15.9221780858977,-0.356674943938732,"yes",70
"165","FPS",34641.0161513775,60,70,8.04430540699064,14.1375940571334,29317,TRUE,16.3871452112621,0.0953101798043249,"yes",70
"166","WXE",33015.1480384384,40,70,6.90173720665657,13.9377281906885,29321,TRUE,14.8391119028199,-1.20397280432594,"yes",70
"167","IWV",31780.4971641414,40,70,7.2152399787301,13.9465388203707,14889,TRUE,15.1526146748934,-0.916290731874155,"yes",70
"168","IWV",31780.4971641414,60,70,7.3125534981026,14.2407782933686,26345,TRUE,15.6553933023741,-0.510825623765991,"yes",70
"169","RFC",12649.1106406735,20,70,6.87109129461055,12.781193323298,20465,FALSE,14.1153188102139,-0.22314355131421,"yes",70
"170","RFC",12767.1453348037,40,70,6.95749737087695,13.2192141880091,7081,TRUE,14.8948720670402,0.587786664902119,"yes",70
"171","MUX",30789.6086366813,40,70,6.82979373751242,13.4717306854934,51537,TRUE,14.7671684336757,-1.20397280432594,"yes",70
"172","MUX",30854.497241083,60,70,6.90675477864855,13.9016882542053,257697,TRUE,15.24959458292,-0.916290731874155,"yes",70
"173","XLL",30364.452901378,20,70,7.89506349809157,12.9412514886669,132329,FALSE,15.1392910136949,-0.916290731874155,"yes",70
"174","XLL",30430.2481094059,40,70,7.97004930497614,13.4517203605399,122849,TRUE,15.9074240011394,-0.105360515657826,"yes",70
"175","XLL",30512.2926047847,60,70,7.96589273508453,13.8155105579643,22025,TRUE,16.308732539356,0.262364264467491,"yes",70
"176","RPD",29715.3159162073,20,70,6.11809719804135,12.534519910889,33745,FALSE,13.3623247136447,-2.30258509299405,"yes",70
"177","RPD",29748.949561287,40,70,6.4118182677099,13.2050597916511,23225,TRUE,14.3491929638732,-1.6094379124341,"yes",70
"178","RPD",29782.5452236709,60,70,6.68586094706836,13.7000570568341,25657,TRUE,15.0287007513398,-0.916290731874155,"yes",70
"179","VVV",29393.8769133981,20,70,7.24279792279376,12.5318738630934,76129,FALSE,14.4870254383971,-1.6094379124341,"yes",70
"180","VVV",29495.7624075053,60,70,7.4265490723973,13.579821135294,26057,TRUE,15.7693888766688,-0.22314355131421,"yes",70
"181","BRW",23811.7617995813,20,70,7.49776170062257,12.9311278085933,82665,NA,14.7419892162259,-0.916290731874155,"yes",70
"182","BRW",23874.6727726266,40,70,7.52833176670725,13.4531049393166,90873,NA,15.4657064628705,-0.105360515657826,"yes",70
"183","BRW",23916.5214862028,60,70,7.58731050602262,13.8342636150464,17681,NA,15.9301503102941,0.336472236621213,"yes",70
"184","IKY",5477.22557505166,20,70,5.8805329864007,12.3805174284982,8169,FALSE,13.1247605020041,0.53062825106217,"yes",70
"185","IKY",5540.75807087803,40,70,5.93224518744801,13.0396402472727,2977,FALSE,13.8696198836113,1.22377543162212,"yes",70
"186","IKY",5612.48608016091,60,70,6.31896811374643,13.3478896876923,4769,TRUE,14.6618079180179,2.00148000021012,"yes",70
"187","IFE",32557.6411921994,20,70,6.89467003943348,13.3764348903209,6817,FALSE,14.1388975550368,-2.30258509299405,"yes",70
"188","IFE",32557.6411921994,40,70,7.04838640872188,14.0545274584348,13713,TRUE,14.9857611048852,-1.20397280432594,"yes",70
"189","LJK",27586.2284482674,20,70,7.64491934495886,13.7850637215371,353,TRUE,14.8891468605622,-0.916290731874155,"yes",70
"190","LJK",27640.5499221705,40,70,7.71333788887187,14.2075526457403,2465,TRUE,15.6507125850352,-0.22314355131421,"yes",70
"191","FRJ",19899.7487421324,20,70,6.61606518513282,13.1652600183566,6705,TRUE,13.8602927007362,-1.20397280432594,"yes",70
"192","FRJ",19949.93734326,40,70,6.66949808985788,13.9639305630825,15585,TRUE,14.6068727860212,-0.510825623765991,"yes",70
"193","CHG",19390.7194296653,20,70,6.52941883826223,12.936908115682,7513,FALSE,13.7736463538656,-1.20397280432594,"yes",70
"194","CHG",19442.2220952236,40,70,6.66440902035041,13.5723785620909,7801,TRUE,14.6017837165137,-0.510825623765991,"yes",70
"195","CHG",19493.5886896179,60,70,6.76157276880406,13.9552725003394,16457,TRUE,15.1044125730755,0,"yes",70
"196","ZTI",24637.3699895098,20,70,7.08924315502751,12.7031866938225,11689,NA,14.3334706706309,-1.20397280432594,"yes",70
"197","ZTI",24677.9253585061,40,70,7.22183582528845,13.2702211555371,17665,NA,15.1592105214517,-0.510825623765991,"yes",70
"198","ZTI",24738.633753706,60,70,7.23777819192344,13.6658892715965,17433,NA,15.5806179961949,0,"yes",70
"199","BST",22671.5680975093,20,70,7.01750614294126,12.7420249340137,14193,NA,14.2617336585446,-1.20397280432594,"yes",70
"200","BST",22715.6333832011,40,70,7.04838640872188,13.393199347729,10249,NA,14.9857611048852,-0.510825623765991,"yes",70
"201","BST",22759.6133534821,60,70,7.14440718032114,13.8450693602058,16561,NA,15.4872469845926,0,"yes",70
"202","PYO",16093.4769394311,20,90,6.53958595561767,13.314511495016,8411,TRUE,14.0351278995019,-0.693147180559945,"yes",90
"203","PYO",16155.4944214035,40,90,6.65544035036765,14.0701527763379,15381,TRUE,14.8441294748118,0.0953101798043249,"yes",90
"204","LWI",13564.6599662505,20,90,6.24997524225948,12.3821120106151,8232,FALSE,13.7455171861437,-0.693147180559945,"yes",90
"205","LWI",13601.4705087354,40,90,6.35088571671474,12.7777327514433,9501,TRUE,14.5395748411589,0.0953101798043249,"yes",90
"206","LWI",13674.7943311773,60,90,6.56807791141198,13.3142837181176,13191,TRUE,15.1622321439643,0.741937344729377,"yes",90
"207","WCZ",32403.7034920393,20,90,7.35372233039963,13.0435647289015,122342,TRUE,14.8492642742839,-1.20397280432594,"yes",90
